Customer,Date,Document Number,SFCC Create WO,Item: Name,Item: Display Name,Quantity,Amount (Net)
CUST466 Default SFCC Customer,5/12/2025,SO0107626,No,S005280,Cure Pink Lobster Medium Tote,1,175
CUST466 Default SFCC Customer,5/12/2025,SO0107626,No,S005286,Cure Pink Lobster Wristlet,2,60
CUST466 Default SFCC Customer,5/12/2025,SO0107627,No,S004854,Multicolor Nautilus Convertible Bucket Bag,1,101.25
CUST466 Default SFCC Customer,5/12/2025,SO0107627,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107627,No,V007008-059,Vintage Colored Dacron Baguette Bag,1,170
CUST466 Default SFCC Customer,5/12/2025,SO0107628,No,V007005-278,Vintage Voyager Small Crossbody,1,95
CUST466 Default SFCC Customer,5/12/2025,SO0107631,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107631,No,V007005-047,Vintage Royal Blue Small Voyager Crossbody Bag,1,85.5
CUST466 Default SFCC Customer,5/12/2025,SO0107633,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107633,No,S005257,2025 Graduation Wristlet Red,1,27
CUST466 Default SFCC Customer,5/12/2025,SO0107634,No,S005181,Nantucket Red Chebeague Crossbody Bag,1,150
CUST466 Default SFCC Customer,5/12/2025,SO0107635,No,V007006-242,Vintage Voyager Medium Crossbody,1,125
CUST466 Default SFCC Customer,5/12/2025,SO0107636,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107636,No,S004134ZP,Tote Large Stripe Rose Gold on Navy Mariner Print with Zip Top and Hanging Pocket,1,238.5
CUST466 Default SFCC Customer,5/12/2025,SO0107637,No,T003449,Turks Head Oyster Bracelet - Oyster - Extra Large,1,38
CUST466 Default SFCC Customer,5/12/2025,SO0107639,No,S005257,2025 Graduation Wristlet Red,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107641,No,S003985,Ogunquit Tote Navy Anchor,1,250
CUST466 Default SFCC Customer,5/12/2025,SO0107642,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107642,No,V004699,Vintage Nantucket Red Crew Belt Bag,1,58.5
CUST466 Default SFCC Customer,5/12/2025,SO0107644,No,S003032,Navy State of Florida Change Purse,1,12.75
CUST466 Default SFCC Customer,5/12/2025,SO0107644,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107645,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107645,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107645,No,S001699,White on Navy Octopus Tote Large,1,178.38
CUST466 Default SFCC Customer,5/12/2025,SO0107645,No,S001591,Four Leaf Clover Wine Bag,1,30.87
CUST466 Default SFCC Customer,5/12/2025,SO0107648,No,S001993,Chebeague Weekender,1,233.75
CUST466 Default SFCC Customer,5/12/2025,SO0107648,No,S004975,Wavy Seas Wristlet,1,25.5
CUST466 Default SFCC Customer,5/12/2025,SO0107648,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107649,No,S002021CP,Golden Retriever Large Tote with Clasp and Hanging Pocket,1,199.75
CUST466 Default SFCC Customer,5/12/2025,SO0107649,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107651,No,S005312,ALPHA Signal Flag Large Tote,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107651,No,V000021-904,Weekender Vintage,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107651,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107652,No,S002010,Navy Anchor Slim Crossbody Bag,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107652,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107652,No,S002037,Lobster Pound Beverage Bucket Bag,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107653,No,V007006-248,Vintage Voyager Medium Crossbody,1,125
CUST466 Default SFCC Customer,5/12/2025,SO0107655,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107655,No,V007006-026,Vintage Blue Medium Voyager Crossbody Bag,1,106.25
CUST466 Default SFCC Customer,5/12/2025,SO0107655,No,S002501,Octopus Large Cosmetic Bag,1,42.5
CUST466 Default SFCC Customer,5/12/2025,SO0107657,No,S003906,Tote Large Multicolor Octopus,1,195
CUST466 Default SFCC Customer,5/12/2025,SO0107658,No,S001723,Red Mariner Stripe Beverage Bucket,1,75
CUST466 Default SFCC Customer,5/12/2025,SO0107659,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107659,No,S005258,2025 Graduation Wristlet Navy,3,76.5
CUST466 Default SFCC Customer,5/12/2025,SO0107663,No,S004592,US Naval Academy Wristlet,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107664,No,S005332,Dragonskin Ditty Bag,2,70
CUST466 Default SFCC Customer,5/12/2025,SO0107665,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107665,No,S002921ZP,White Anchor on Sea Glass Print Large Tote with Zip Top and Hanging Pocket,1,212.5
CUST466 Default SFCC Customer,5/12/2025,SO0107666,No,S000907,Four Leaf Clover Wristlet,1,25.5
CUST466 Default SFCC Customer,5/12/2025,SO0107666,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107666,No,S500094,Four Leaf Clover Medium Tote,1,148.75
CUST466 Default SFCC Customer,5/12/2025,SO0107667,No,S003908,Multicolor Octopus Wristlet,1,25.5
CUST466 Default SFCC Customer,5/12/2025,SO0107667,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107668,No,ADDS0026,Add | Closure | CV | Large Tote | No Closure |,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107668,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107668,No,ADDS0021,Add | Hanging Pocket | CV | No Pocket |,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107668,Yes,S005225,Custom Monogram Rose Gold Mariner Stripe Tote Large,1,191.25
CUST466 Default SFCC Customer,5/12/2025,SO0107670,No,V000205CP-3039,Tote Large Vintage with Clasp and Hanging Pocket,1,225
CUST466 Default SFCC Customer,5/12/2025,SO0107670,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107671,No,S223517,Ditty Bag,1,35
CUST466 Default SFCC Customer,5/12/2025,SO0107672,No,A004744,Dark Horse Medium Auction Tote,1,400
CUST466 Default SFCC Customer,5/12/2025,SO0107673,No,S003901,Tote Medium Watercolor Maine,1,175
CUST466 Default SFCC Customer,5/12/2025,SO0107674,No,V007006-244,Vintage Voyager Medium Crossbody,1,125
CUST466 Default SFCC Customer,5/12/2025,SO0107674,No,V007005-311,Vintage Voyager Small Crossbody,1,95
CUST466 Default SFCC Customer,5/12/2025,SO0107674,No,V007006-262,Vintage Voyager Medium Crossbody,1,125
CUST466 Default SFCC Customer,5/12/2025,SO0107676,No,S005258,2025 Graduation Wristlet Navy,25,750
CUST466 Default SFCC Customer,5/12/2025,SO0107678,No,S005257,2025 Graduation Wristlet Red,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107678,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107678,No,S004981,Cure Sand Dollar and Stripe Wristlet,1,22.5
CUST466 Default SFCC Customer,5/12/2025,SO0107679,No,S005257,2025 Graduation Wristlet Red,18,486
CUST466 Default SFCC Customer,5/12/2025,SO0107679,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107680,No,S005076,Detroit Lions Beverage Bucket,1,75
CUST466 Default SFCC Customer,5/12/2025,SO0107681,No,V000021-898,Weekender Vintage,1,275
CUST466 Default SFCC Customer,5/12/2025,SO0107682,No,S004136,Chebeague Crossbody Bag,1,127.5
CUST466 Default SFCC Customer,5/12/2025,SO0107682,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107683,No,S004836,Maine Landmarks Beverage Bucket,1,75
CUST466 Default SFCC Customer,5/12/2025,SO0107684,No,S005280,Cure Pink Lobster Medium Tote,1,175
CUST466 Default SFCC Customer,5/12/2025,SO0107685,No,S005257,2025 Graduation Wristlet Red,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107686,No,S000999,Wristlet Small Nautical Chart Cape Cod,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107687,No,V007005-277,Vintage Voyager Small Crossbody,1,95
CUST466 Default SFCC Customer,5/12/2025,SO0107688,No,T004990,Custom Cordage - Rope Dog Leash Maine Bicentennial,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107688,No,T004455,Maine Rope Dog Leash Blue,1,30
CUST466 Default SFCC Customer,5/12/2025,SO0107689,No,HNDL0011,"Sub-Assembly | Spliced Handle | Hemp Rope | 1/2"" | 125""|",1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107689,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107689,No,APPL0145,Applique | CV | Date | 6x21.5 | Gold |,1,8.5
CUST466 Default SFCC Customer,5/12/2025,SO0107689,No,ADDS0026,Add | Closure | CV | Large Tote | No Closure |,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107689,Yes,S003306,Custom Date Tote Large,1,199.75
CUST466 Default SFCC Customer,5/12/2025,SO0107689,No,ADDS0021,Add | Hanging Pocket | CV | No Pocket |,1,0
CUST466 Default SFCC Customer,5/12/2025,SO0107690,No,S002262,Navy Anchor Beverage Bucket Bag,1,75
CUST466 Default SFCC Customer,5/12/2025,SO0107691,No,S000710-100,Physical Gift Card - $100,1,100
CUST466 Default SFCC Customer,5/12/2025,SO0107692,No,T002979,Square Knot Bracelet - Navy - Extra Small,2,56
CUST466 Default SFCC Customer,5/12/2025,SO0107692,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107692,No,S004966,Bluefin Tuna Medium Tote,1,131.25
CUST466 Default SFCC Customer,5/12/2025,SO0107693,No,S005277,Swimming Sea Turtles Slim Crossbody,1,75
CUST466 Default SFCC Customer,5/12/2025,SO0107694,No,S004135,Ogunquit Tote White on Navy Sand Dollar,1,238.5
CUST466 Default SFCC Customer,5/12/2025,SO0107694,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107695,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/12/2025,SO0107695,No,S003038,Paw Print Ditty Bag,1,29.75
CUST466 Default SFCC Customer,5/12/2025,SO0107696,No,S400092,Black Lab Large Tote,1,195
CUST466 Default SFCC Customer,5/12/2025,SO0107697,No,S005282,Blue Nautilus Print Medium Tote,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107698,No,S005063,Buffalo Bills Beverage Bucket,1,63.75
CUST466 Default SFCC Customer,5/13/2025,SO0107698,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107699,No,S004858,Tan Chebeague Crossbody,1,150
CUST466 Default SFCC Customer,5/13/2025,SO0107700,No,S004822,Sunflower Tote,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107700,No,S004830,Sunflower Wristlet,1,30
CUST466 Default SFCC Customer,5/13/2025,SO0107701,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107701,No,S000903,All Purpose Navy Tool Bucket Bag,1,63.75
CUST466 Default SFCC Customer,5/13/2025,SO0107702,No,S002985,Wristlet Small Anchor Rose Gold,1,27
CUST466 Default SFCC Customer,5/13/2025,SO0107702,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107702,No,S400042,Black on Black Anchor Wristlet,1,27
CUST466 Default SFCC Customer,5/13/2025,SO0107704,No,S004699ZP,Tote Medium Watercolor Crab Print with Zip Top and Hanging Pocket,1,230
CUST466 Default SFCC Customer,5/13/2025,SO0107705,No,S005280,Cure Pink Lobster Medium Tote,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107705,No,S005286,Cure Pink Lobster Wristlet,1,30
CUST466 Default SFCC Customer,5/13/2025,SO0107706,No,HNDL0011,"Sub-Assembly | Spliced Handle | Hemp Rope | 1/2"" | 125""|",1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107706,No,ADDS0028,Add | Closure | CV | Large Tote | Clasp |,1,15
CUST466 Default SFCC Customer,5/13/2025,SO0107706,Yes,S005354,Custom Last Name Mariner Stripe Tote,1,235
CUST466 Default SFCC Customer,5/13/2025,SO0107706,No,ADDS0004,Add | Hanging Pkt | Large | Sail  | Stamp |,1,25
CUST466 Default SFCC Customer,5/13/2025,SO0107707,No,ECUS0019,Custom Visualizer | Ecom Custom Design Option | One Side,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107707,Yes,S002669,Ogunquit | Full Custom | Hemp Rope |,1,315
CUST466 Default SFCC Customer,5/13/2025,SO0107707,No,ECUS0013,Custom Text | Custom Visualizer | Print Color | Navy,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107708,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107708,No,S004981,Cure Sand Dollar and Stripe Wristlet,1,22.5
CUST466 Default SFCC Customer,5/13/2025,SO0107710,No,S005257,2025 Graduation Wristlet Red,2,60
CUST466 Default SFCC Customer,5/13/2025,SO0107711,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107711,No,S001955,Navy Anchor Change Purse,6,81
CUST466 Default SFCC Customer,5/13/2025,SO0107711,No,S005258,2025 Graduation Wristlet Navy,2,54
CUST466 Default SFCC Customer,5/13/2025,SO0107712,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107712,No,S004432,Emerald Coast Map Beverage Bucket,1,56.25
CUST466 Default SFCC Customer,5/13/2025,SO0107717,No,S005003,Baltimore Ravens Tailgate Tote,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107717,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107718,No,S002187,Paw Print Medium Tote,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107719,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107719,No,V007005-282,Vintage Voyager Small Crossbody,1,47.5
CUST466 Default SFCC Customer,5/13/2025,SO0107720,No,T005066,Chandler 4 Corners - Petite Pillow - Maine,1,35
CUST466 Default SFCC Customer,5/13/2025,SO0107720,No,S003580,All Purpose Tan Tool Bucket Bag,1,75
CUST466 Default SFCC Customer,5/13/2025,SO0107721,No,V000205CP-3044,Tote Large Vintage with Clasp and Hanging Pocket,1,250
CUST466 Default SFCC Customer,5/13/2025,SO0107722,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107722,No,S002883CP,White Anchor on Sea Glass Print Medium Tote with Clasp and Hanging Pocket,1,182.75
CUST466 Default SFCC Customer,5/13/2025,SO0107723,No,S005100,San Francisco 49ers Slim Crossbody,1,75
CUST466 Default SFCC Customer,5/13/2025,SO0107725,No,S002883,White Anchor on Sea Glass Print Medium Tote,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107726,Yes,S000275,Tote | Full Custom | Large | Hemp Rope |,1,245
CUST466 Default SFCC Customer,5/13/2025,SO0107726,No,ADDS0021,Add | Hanging Pocket | CV | No Pocket |,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107726,No,ECUS0019,Custom Visualizer | Ecom Custom Design Option | One Side,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107726,No,ADDS0026,Add | Closure | CV | Large Tote | No Closure |,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107727,No,S005095,Buffalo Bills Slim Crossbody,1,75
CUST466 Default SFCC Customer,5/13/2025,SO0107730,No,S005280,Cure Pink Lobster Medium Tote,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107733,No,S005323,ROMEO Signal Flag Large Tote,1,297.27
CUST466 Default SFCC Customer,5/13/2025,SO0107733,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107733,No,S001158,Paw Print Wristlet,1,29.73
CUST466 Default SFCC Customer,5/13/2025,SO0107734,No,S004966,Bluefin Tuna Medium Tote,1,131.25
CUST466 Default SFCC Customer,5/13/2025,SO0107734,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107734,No,S004980,Tuna Wristlet,1,22.5
CUST466 Default SFCC Customer,5/13/2025,SO0107735,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107735,No,S004981,Cure Sand Dollar and Stripe Wristlet,1,22.5
CUST466 Default SFCC Customer,5/13/2025,SO0107736,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107736,No,S004287,Tote Medium Blue Sea Urchins,1,131.25
CUST466 Default SFCC Customer,5/13/2025,SO0107737,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107737,No,S005258,2025 Graduation Wristlet Navy,1,25.5
CUST466 Default SFCC Customer,5/13/2025,SO0107738,No,S004287,Tote Medium Blue Sea Urchins,1,131.25
CUST466 Default SFCC Customer,5/13/2025,SO0107738,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107739,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107739,No,S003985,Ogunquit Tote Navy Anchor,1,117.5
CUST466 Default SFCC Customer,5/13/2025,SO0107740,No,T002960,Vintage Sailmaker's Hardware,1,10
CUST466 Default SFCC Customer,5/13/2025,SO0107740,No,S003987,Breton Stripe White Anchor Beverage Bucket,1,75
CUST466 Default SFCC Customer,5/13/2025,SO0107740,No,T003447,Turks Head Oyster Bracelet - Oyster - Medium,1,38
CUST466 Default SFCC Customer,5/13/2025,SO0107741,No,S004541,Multicolor Sea Turtle Wristlet,1,27
CUST466 Default SFCC Customer,5/13/2025,SO0107741,No,S004853C,Multicolor Sea Turtle Handbag,1,135
CUST466 Default SFCC Customer,5/13/2025,SO0107741,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107742,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107742,No,S004752,Regatta Stripe Race Wristlet,1,22.5
CUST466 Default SFCC Customer,5/13/2025,SO0107743,No,S004681,Lupine Sailor Stripe Large Wristlet,1,38.25
CUST466 Default SFCC Customer,5/13/2025,SO0107743,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107743,No,S005257,2025 Graduation Wristlet Red,1,25.5
CUST466 Default SFCC Customer,5/13/2025,SO0107744,No,S004968,Cure Sand Dollar and Stripes Medium Tote,1,131.25
CUST466 Default SFCC Customer,5/13/2025,SO0107744,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107744,No,S004981,Cure Sand Dollar and Stripe Wristlet,1,22.5
CUST466 Default SFCC Customer,5/13/2025,SO0107745,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/13/2025,SO0107745,No,S003014Z,Tan Chebeague Handbag,1,175.5
CUST466 Default SFCC Customer,5/13/2025,SO0107747,No,APPL0134,Applique | CV | Date | 6x21.5 | Navy |,1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107747,No,ADDS0025,Add | Closure | CV | Large Tote | Zip Top |,1,30
CUST466 Default SFCC Customer,5/13/2025,SO0107747,No,ADDS0004,Add | Hanging Pkt | Large | Sail  | Stamp |,1,25
CUST466 Default SFCC Customer,5/13/2025,SO0107747,Yes,S003306,Custom Date Tote Large,1,235
CUST466 Default SFCC Customer,5/13/2025,SO0107747,No,HNDL0012,"Sub-Assembly | Spliced Handle | Navy Rope | 1/2"" | 125""|",1,0
CUST466 Default SFCC Customer,5/13/2025,SO0107748,No,S005333,Navy Anchor Belt Bag,1,65
CUST466 Default SFCC Customer,5/13/2025,SO0107749,No,S004590,Tote Medium United States Naval Academy,1,175
CUST466 Default SFCC Customer,5/13/2025,SO0107750,No,S003205,Multicolor Lobster Wristlet,1,30
CUST466 Default SFCC Customer,5/13/2025,SO0107751,No,S005064,Pittsburgh Steelers Beverage Bucket,1,75
CUST466 Default SFCC Customer,5/13/2025,SO0107752,No,S005286,Cure Pink Lobster Wristlet,2,60
CUST466 Default SFCC Customer,5/13/2025,SO0107753,No,T003571,Floating Dog Toy - Blue/Blue,1,15
CUST466 Default SFCC Customer,5/13/2025,SO0107753,No,S002037,Lobster Pound Beverage Bucket Bag,1,75
CUST466 Default SFCC Customer,5/13/2025,SO0107753,No,S003216,Breton Stripe and Star Beachcomber Bucket,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107754,No,S005280,Cure Pink Lobster Medium Tote,1,175
CUST466 Default SFCC Customer,5/14/2025,SO0107755,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107755,No,S005258,2025 Graduation Wristlet Navy,3,76.5
CUST466 Default SFCC Customer,5/14/2025,SO0107755,No,S005257,2025 Graduation Wristlet Red,2,51
CUST466 Default SFCC Customer,5/14/2025,SO0107756,No,V000205CP-3053,Tote Large Vintage with Clasp and Hanging Pocket,1,212.5
CUST466 Default SFCC Customer,5/14/2025,SO0107756,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107757,No,S005273,Four Leaf Clover Essential Handbag,1,95
CUST466 Default SFCC Customer,5/14/2025,SO0107758,No,V007005-296,Vintage Voyager Small Crossbody,1,95
CUST466 Default SFCC Customer,5/14/2025,SO0107759,No,S005258,2025 Graduation Wristlet Navy,1,30
CUST466 Default SFCC Customer,5/14/2025,SO0107760,No,T004990,Custom Cordage - Rope Dog Leash Maine Bicentennial,1,30
CUST466 Default SFCC Customer,5/14/2025,SO0107761,No,S005258,2025 Graduation Wristlet Navy,2,60
CUST466 Default SFCC Customer,5/14/2025,SO0107762,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107762,No,S001591,Four Leaf Clover Wine Bag,1,33.75
CUST466 Default SFCC Customer,5/14/2025,SO0107762,No,V001652C-1490,Vintage Handbag,1,180
CUST466 Default SFCC Customer,5/14/2025,SO0107763,No,S003216,Breton Stripe and Star Beachcomber Bucket,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107764,No,S005335,Beach to Beacon Belt Bag,3,195
CUST466 Default SFCC Customer,5/14/2025,SO0107765,No,S005287,Life is Good Shell Print Wristlet,2,60
CUST466 Default SFCC Customer,5/14/2025,SO0107765,No,S003528,Wristlet Small Sea Turtle White on Navy,2,60
CUST466 Default SFCC Customer,5/14/2025,SO0107765,No,S005277,Swimming Sea Turtles Slim Crossbody,2,150
CUST466 Default SFCC Customer,5/14/2025,SO0107766,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107766,No,S004154,Wristlet Large Blue Stripe Print,1,33.75
CUST466 Default SFCC Customer,5/14/2025,SO0107768,No,S005108,Detroit Lions Slim Crossbody,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107769,No,S005232,Chebeague Cosmetic Bag,1,65
CUST466 Default SFCC Customer,5/14/2025,SO0107770,No,S004700,Watercolor Crab Beverage Bucket,1,63.75
CUST466 Default SFCC Customer,5/14/2025,SO0107770,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107771,No,S003889,Watercolor Dragonfly Slim Crossbody,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107771,No,S005277,Swimming Sea Turtles Slim Crossbody,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107772,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107772,No,S004832,Cabana Stripe Slim Crossbody,1,54.29
CUST466 Default SFCC Customer,5/14/2025,SO0107772,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107772,No,S002749,Sea Glass Print Wristlet,1,28.96
CUST466 Default SFCC Customer,5/14/2025,SO0107773,No,S004981,Cure Sand Dollar and Stripe Wristlet,1,22.5
CUST466 Default SFCC Customer,5/14/2025,SO0107773,No,SFCC Item Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107774,No,S001545ZP,Red Mariner Stripe Medium Tote with Zip Top and Hanging Pocket,1,207
CUST466 Default SFCC Customer,5/14/2025,SO0107774,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107775,No,V001652C-1486,Vintage Handbag,1,180
CUST466 Default SFCC Customer,5/14/2025,SO0107777,No,S004681,Lupine Sailor Stripe Large Wristlet,1,45
CUST466 Default SFCC Customer,5/14/2025,SO0107778,No,S002578,Red Mariner Stripe Large Wristlet,1,40.5
CUST466 Default SFCC Customer,5/14/2025,SO0107778,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107779,No,S005282,Blue Nautilus Print Medium Tote,2,315
CUST466 Default SFCC Customer,5/14/2025,SO0107779,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107779,No,S003888ZP,Watercolor Dragonfly Tote with Zip Top and Hanging Pocket,2,414
CUST466 Default SFCC Customer,5/14/2025,SO0107780,No,V000205CP-3024,Tote Large Vintage with Clasp and Hanging Pocket,1,250
CUST466 Default SFCC Customer,5/14/2025,SO0107781,No,HNDL0011,"Sub-Assembly | Spliced Handle | Hemp Rope | 1/2"" | 125""|",1,0
CUST466 Default SFCC Customer,5/14/2025,SO0107781,No,ADDS0026,Add | Closure | CV | Large Tote | No Closure |,1,0
CUST466 Default SFCC Customer,5/14/2025,SO0107781,,SFCC Order Discount,,,0
CUST466 Default SFCC Customer,5/14/2025,SO0107781,No,APPL0134,Applique | CV | Date | 6x21.5 | Navy |,1,0
CUST466 Default SFCC Customer,5/14/2025,SO0107781,Yes,S003306,Custom Date Tote Large,1,199.75
CUST466 Default SFCC Customer,5/14/2025,SO0107781,No,ADDS0004,Add | Hanging Pkt | Large | Sail  | Stamp |,1,21.25
CUST466 Default SFCC Customer,5/14/2025,SO0107782,No,S003294,Gardener's Bucket Bag Ocean Teal,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107782,No,S003580,All Purpose Tan Tool Bucket Bag,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107782,No,S223416,All Purpose Gray Tool Bucket Bag,1,75
CUST466 Default SFCC Customer,5/14/2025,SO0107783,No,ECUS0019,Custom Visualizer | Ecom Custom Design Option | One Side,1,0
CUST466 Default SFCC Customer,5/14/2025,SO0107783,No,ADDS0031,Add | Tote | Large | Interior Pockets | Hanging Pocket |,1,50
CUST466 Default SFCC Customer,5/14/2025,SO0107783,No,ADDS0025,Add | Closure | CV | Large Tote | Zip Top |,1,30
CUST466 Default SFCC Customer,5/14/2025,SO0107783,Yes,S000275,Tote | Full Custom | Large | Hemp Rope |,1,245
CUST466 Default SFCC Customer,5/14/2025,SO0107784,No,S223801,Red Lobster Claw Wristlet,11,330
CUST466 Default SFCC Customer,5/14/2025,SO0107786,No,HNDL0012,"Sub-Assembly | Spliced Handle | Navy Rope | 1/2"" | 125""|",1,0
CUST466 Default SFCC Customer,5/14/2025,SO0107786,No,ADDS0004,Add | Hanging Pkt | Large | Sail  | Stamp |,1,25
CUST466 Default SFCC Customer,5/14/2025,SO0107786,Yes,S003319,Custom Monogram Wedding Tote Large,1,210
CUST466 Default SFCC Customer,5/14/2025,SO0107786,No,ADDS0028,Add | Closure | CV | Large Tote | Clasp |,1,15
CUST466 Default SFCC Customer,5/14/2025,SO0107786,No,ECUS0013,Custom Text | Custom Visualizer | Print Color | Navy,1,0
